OGId,OrderId,GoodsId,UnitId,GoodsPlanOnWeight,GoodsPlanOnPcs,GoodsPcs,GoodsWeight,GoodsTakeWeight,DeleteStatus,LastEditUserId,LastEditor,CreateUserId,Creator,UpdateTime,AddTime,UpdateDate,AddDate,OffsetResult,OffsetWeight,OffsetCount,OffsetRate
1,1988782945850232832,489,397,20,10,11.45,22.9,,0,,,2498,13758155135,,1763007550,,2025-11-13 12:19:10.4207505,1,2.9,145,14.5
2,1988830013587329024,489,423,20,10,11.545,23.09,,0,,,2498,13758155135,,1763019761,,2025-11-13 15:42:41.2361551,1,3.09,154.5,15.45
3,1989115906822901760,489,423,26,13,14.79,29.58,,0,,,2498,13758155135,,1763275872,,2025-11-16 14:51:12.944003,1,3.58,178.9996,13.7692
4,1989154943684186112,489,423,10,5,5.46,10.92,,0,,,2498,13758155135,,1763275941,,2025-11-16 14:52:21.6944819,1,0.92,46,9.2
5,1989470469631381504,491,433,20,10,11.57,23.14,,0,,,2498,13758155135,,1763276000,,2025-11-16 14:53:20.3080173,1,3.14,157,15.7
6,1989509394748018688,491,433,5,2.5,2.595,5.19,,0,,,2498,13758155135,,1763276035,,2025-11-16 14:53:55.9935512,1,0.19,9.5,3.8
7,1990918984165363712,480,388,30.16,13,12.8147,29.73,,0,,,2498,13758155135,,1763508019,,2025-11-19 07:20:19.602459,2,-0.43,-18.5341,-1.4257
8,1990921918135537664,480,388,41.76,18,17.7845,41.26,,0,,,2498,13758155135,,1763510070,,2025-11-19 07:54:30.6714133,2,-0.5,-21.5514,-1.1973
9,1990924189552480256,480,388,27.84,12,11.5991,26.91,,0,,,2498,13758155135,,1763510984,,2025-11-19 08:09:44.6155355,3,-0.93,-40.086,-3.3405
10,1990919623813500928,480,388,27.84,12,11.7716,27.31,,0,,,2498,13758155135,,1763511338,,2025-11-19 08:15:38.3578333,2,-0.53,-22.8444,-1.9037
11,1990923471458275328,480,388,41.76,18,24.6983,57.3,,0,,,2498,13758155135,,1763511416,,2025-11-19 08:16:56.3106291,1,15.54,669.8268,37.2126
12,1990926490279219200,480,388,41.76,18,18.2155,42.26,,0,,,2498,13758155135,,1763511496,,2025-11-19 08:18:16.230042,1,0.5,21.5514,1.1973
13,1990939040563728384,480,388,27.84,12,11.8147,27.41,,0,,,2498,13758155135,,1763513559,,2025-11-19 08:52:39.9350544,2,-0.43,-18.534,-1.5445
14,1990952089051860992,480,388,34.8,15,14.9483,34.68,,0,,,2498,13758155135,,1763516196,,2025-11-19 09:36:36.4609215,2,-0.12,-5.172,-0.3448
15,1990947019874766848,480,388,32.48,14,13.9009,32.25,,0,,,2498,13758155135,,1763516245,,2025-11-19 09:37:25.028385,2,-0.23,-9.9134,-0.7081
16,1990959113860943872,480,388,44.08,19,19.0302,44.15,,0,,,2498,13758155135,,1763518310,,2025-11-19 10:11:50.5904493,1,0.07,3.0172,0.1588
17,1990979413977731072,480,388,34.8,15,14.6207,33.92,,0,,,2498,13758155135,,1763525400,,2025-11-19 12:10:00.8329091,2,-0.88,-37.9305,-2.5287
18,1990997638736121856,480,388,30.16,13,12.8534,29.82,,0,,,2498,13758155135,,1763526959,,2025-11-19 12:35:59.9001768,2,-0.34,-14.6549,-1.1273
19,1990976461359681536,480,388,44.08,19,18.5862,43.12,,0,,,2498,13758155135,,1763527154,,2025-11-19 12:39:14.1709584,2,-0.96,-41.3801,-2.1779
20,1991034626440826880,480,388,41.76,18,17.6767,41.01,,0,,,2498,13758155135,,1763536335,,2025-11-19 15:12:15.1266301,2,-0.75,-32.328,-1.796
21,1991031199568629760,480,388,32.48,14,13.8836,32.21,,0,,,2498,13758155135,,1763536359,,2025-11-19 15:12:39.9519619,2,-0.27,-11.6382,-0.8313
22,1991040302219137024,480,388,30.16,13,12.806,29.71,,0,,,2498,13758155135,,1763537768,,2025-11-19 15:36:08.3065639,2,-0.45,-19.396,-1.492
23,1990954439485296640,480,388,41.76,18,18.3103,42.48,,0,,,2498,13758155135,,1763591571,,2025-11-20 06:32:51.0979938,1,0.72,0.3096,0.0172
24,1990970935657762816,480,388,34.8,15,14.7629,34.25,,0,,,2498,13758155135,,1763591595,,2025-11-20 06:33:15.5221967,2,-0.55,-0.237,-0.0158
25,1990984781696995328,480,388,34.8,15,14.6595,34.01,,0,,,2498,13758155135,,1763591632,,2025-11-20 06:33:52.151762,2,-0.79,-0.3405,-0.0227
26,1990989884986363904,480,388,32.48,14,13.8793,32.2,,0,,,2498,13758155135,,1763591669,,2025-11-20 06:34:29.5496179,2,-0.28,-0.1204,-0.0086
27,1991043884771315712,480,388,41.76,18,18.0517,41.88,,0,,,2498,13758155135,,1763591690,,2025-11-20 06:34:50.2132957,1,0.12,0.0522,0.0029
28,1991046863897366528,480,388,34.8,15,14.8233,34.39,,0,,,2498,13758155135,,1763591741,,2025-11-20 06:35:41.9567029,2,-0.41,-0.177,-0.0118
29,1991050141561393152,480,388,41.76,18,17.9741,41.7,,0,,,2498,13758155135,,1763591759,,2025-11-20 06:35:59.898148,2,-0.06,-0.0252,-0.0014
30,1991051898777636864,480,388,41.76,18,17.8534,41.42,,0,,,2498,13758155135,,1763591787,,2025-11-20 06:36:27.9007218,2,-0.34,-0.1458,-0.0081
31,1991054860220502016,480,388,29,12.5,12.25,28.42,,0,,,2498,13758155135,,1763591976,,2025-11-20 06:39:36.7526876,2,-0.58,-0.25,-0.02
32,1991055724834328576,480,388,46.4,20,24.1681,56.07,,0,,,2498,13758155135,,1763592147,,2025-11-20 06:42:27.3878367,1,9.67,4.168,0.2084
33,1991056283284934656,480,388,41.76,18,17.7672,41.22,,0,,,2498,13758155135,,1763592174,,2025-11-20 06:42:54.8594051,2,-0.54,-0.2322,-0.0129
34,1991059927187197952,480,388,39.44,17,17.1681,39.83,,0,,,2498,13758155135,,1763592224,,2025-11-20 06:43:44.9735056,1,0.39,0.1683,0.0099
35,1991063822500237312,480,388,29,12.5,12.2371,28.39,,0,,,2498,13758155135,,1763592249,,2025-11-20 06:44:09.9286209,2,-0.61,-0.2625,-0.021
36,1990966604980162560,480,388,34.8,15,20.8664,48.41,,0,,,2498,13758155135,,1763593213,,2025-11-20 07:00:13.4682385,1,13.61,5.8665,0.3911
37,1991065502193160192,480,388,34.8,15,14.8879,34.54,,0,,,2498,13758155135,,1763593273,,2025-11-20 07:01:13.5402065,2,-0.26,-0.1125,-0.0075
38,1991067479136407552,480,388,44.08,19,18.6121,43.18,,0,,,2498,13758155135,,1763593335,,2025-11-20 07:02:15.5296781,2,-0.9,-0.3876,-0.0204
39,1991069457526689792,480,388,32.48,14,13.9397,32.34,,0,,,2498,13758155135,,1763593360,,2025-11-20 07:02:40.4074613,2,-0.14,-0.0602,-0.0043
40,1991070909271773184,480,388,44.08,19,18.6336,43.23,,0,,,2498,13758155135,,1763593419,,2025-11-20 07:03:39.3311818,2,-0.85,-0.3667,-0.0193
41,1991074169844011008,480,388,25.52,11,10.9052,25.3,,0,,,2498,13758155135,,1763593464,,2025-11-20 07:04:24.3441301,2,-0.22,-0.0946,-0.0086
42,1991092297315520512,480,388,32.48,14,14.1509,32.83,,0,,,2498,13758155135,,1763593491,,2025-11-20 07:04:51.1353112,1,0.35,0.1512,0.0108
43,1991100339096522752,480,388,34.8,15,14.8276,34.4,,0,,,2498,13758155135,,1763593524,,2025-11-20 07:05:24.2321372,2,-0.4,-0.1725,-0.0115
44,1991107257877794816,480,388,34.8,15,14.8621,34.48,,0,,,2498,13758155135,,1763593545,,2025-11-20 07:05:45.4697785,2,-0.32,-0.138,-0.0092
45,1991125030750261248,480,388,34.8,15,14.7759,34.28,,0,,,2498,13758155135,,1763593562,,2025-11-20 07:06:02.8121963,2,-0.52,-0.2235,-0.0149
46,1991097800208814080,480,388,44.08,19,20.7586,48.16,,0,,,2498,13758155135,,1763593589,,2025-11-20 07:06:29.4744731,1,4.08,1.7594,0.0926
47,1991373188365422592,489,423,13.68,6,5.9605,13.59,,0,,,2498,13758155135,,1763620990,,2025-11-20 14:43:10.321447,2,-0.09,-0.0396,-0.0066
48,1992497076071698432,489,423,29.64,13,13.4035,30.56,,0,,,2498,13758155135,,1763937084,,2025-11-24 06:31:24.6897877,1,0.92,0.403,0.031
49,1993545232645492736,491,433,32.13,14,14.2266,32.65,,0,,,2498,13758155135,,1764141239,,2025-11-26 15:13:59.1733926,1,0.52,0.2268,0.0162
50,1993564746019901440,491,433,27.54,12,12.061,27.68,,0,,,2498,13758155135,,1764143858,,2025-11-26 15:57:38.9124672,1,0.14,0.0612,0.0051
51,1993590622988144640,491,433,32.13,14,14.1612,32.5,,0,,,2498,13758155135,,1764196853,,2025-11-27 06:40:53.6985772,1,0.37,0.161,0.0115
52,1994647591652036608,489,423,27.36,12,12.1491,27.7,,0,,,2498,13758155135,,1764406007,,2025-11-29 16:46:47.5472263,1,0.34,0.1488,0.0124
53,1994278775390605312,489,423,27.36,12,12.0833,27.55,,0,,,2498,13758155135,,1764406040,,2025-11-29 16:47:20.7587596,1,0.19,0.0828,0.0069
54,1994613012538986496,489,423,29.64,13,13.2807,30.28,,0,,,2498,13758155135,,1764455781,,2025-11-30 06:36:21.8921534,1,0.64,0.2808,0.0216
